Date,Open,High,Low,Close,fcb,cpi,interest
8/1/2023,90.22501,91.91452,88.53551,89.42742,8.823,4.903509,0.03
9/1/2023,87.35727,89.59333,86.34795,89.59333,8.909,4.971277,0.03
10/1/2023,90.18494,90.95123,89.41865,89.65484,9.136,5.827352,0.05
11/1/2023,89.35254,89.7319,88.97317,89.7,9.374,5.976829,0.05
12/1/2023,89.91185,90.17709,89.64661,89.7,9.642,5.97813,0.03
1/1/2024,89.62994,89.74263,89.51726,89.7,9.696,6.149463,0.07
2/1/2024,89.70497,89.77002,89.63992,89.7,9.877,6.214386,0.04
3/1/2024,89.6805,89.71056,89.65044,89.7,9.811335708,6.321163,0.04
4/1/2024,89.8855,89.95286,89.7,89.7,9.779586785,6.431053,0.04
5/1/2024,89.68396,89.75304,89.61488,89.7,9.818884427,6.432521,0.05
6/1/2024,89.66616,89.7,89.63778,89.7,9.862651493,6.450228,0.05
7/1/2024,89.62232,89.7,89.58815,89.7,9.774792331,6.577391,0.04
8/1/2024,89.77105,89.81222,89.7,89.7,9.774793152,6.619767,0.04
9/1/2024,89.69228,89.71225,89.67232,89.7,9.865460641,6.608042,0.03
10/1/2024,89.70664,89.71687,89.69641,89.7,9.824871736,6.741306,0.02
11/1/2024,89.65154,89.7,89.62285,89.7,9.763026281,6.896311,0.02
12/1/2024,89.62577,89.7,89.61541,89.7,9.813628002,6.896312,0.02
